Timestamp,Acce_x,Acce_y,Acce_z,Gyro_x,Gyro_y,Gyro_z,handGrip,Label
2025-04-03 22:40:26.061822,7.18,6.1,2.96,-0.04,0.01,-0.0,ClosedGrip,LateralRaise
2025-04-03 22:40:26.092234,7.25,5.99,2.97,-0.05,-0.06,0.0,ClosedGrip,LateralRaise
2025-04-03 22:40:26.126896,7.24,6.05,2.85,-0.05,-0.04,0.0,ClosedGrip,LateralRaise
2025-04-03 22:40:26.154903,7.18,5.95,2.78,-0.05,-0.01,-0.01,ClosedGrip,LateralRaise
2025-04-03 22:40:26.184493,7.1,6.0,2.84,-0.04,0.04,0.01,ClosedGrip,LateralRaise
2025-04-03 22:40:26.215335,6.95,6.0,2.82,-0.03,0.02,-0.03,ClosedGrip,LateralRaise
2025-04-03 22:40:26.246010,7.26,5.93,2.74,-0.03,0.03,-0.01,ClosedGrip,LateralRaise
2025-04-03 22:40:26.276624,7.09,5.98,2.88,-0.04,0.04,0.02,ClosedGrip,LateralRaise
2025-04-03 22:40:26.309966,7.02,6.07,2.87,-0.05,-0.01,0.01,ClosedGrip,LateralRaise
2025-04-03 22:40:26.338551,7.1,6.12,2.65,-0.04,-0.01,0.04,ClosedGrip,LateralRaise
2025-04-03 22:40:26.368654,7.01,6.06,2.64,-0.03,0.03,0.03,ClosedGrip,LateralRaise
2025-04-03 22:40:26.399581,7.0,5.99,2.83,-0.02,0.04,0.03,ClosedGrip,LateralRaise
2025-04-03 22:40:26.433149,7.16,5.96,2.75,-0.01,0.03,0.04,ClosedGrip,LateralRaise
2025-04-03 22:40:26.461085,7.31,5.88,2.76,0.0,0.03,0.05,ClosedGrip,LateralRaise
2025-04-03 22:40:26.491934,7.25,5.89,2.8,-0.01,0.08,0.05,ClosedGrip,LateralRaise
2025-04-03 22:40:26.529218,7.09,6.0,2.87,-0.03,-0.0,0.06,ClosedGrip,LateralRaise
2025-04-03 22:40:26.553447,7.18,5.98,2.75,-0.05,-0.1,0.04,ClosedGrip,LateralRaise
2025-04-03 22:40:26.584229,7.21,5.81,2.66,-0.04,-0.06,0.02,ClosedGrip,LateralRaise
2025-04-03 22:40:26.622923,6.86,5.92,2.87,-0.04,-0.12,-0.02,ClosedGrip,LateralRaise
2025-04-03 22:40:26.645730,6.91,5.88,2.57,-0.02,-0.18,-0.01,ClosedGrip,LateralRaise
2025-04-03 22:40:26.682411,7.02,5.88,2.52,0.01,-0.0,-0.08,ClosedGrip,LateralRaise
2025-04-03 22:40:26.708085,6.87,5.94,2.87,0.04,0.1,-0.15,ClosedGrip,LateralRaise
2025-04-03 22:40:26.743623,7.34,6.21,3.28,0.04,0.13,-0.15,ClosedGrip,LateralRaise
2025-04-03 22:40:26.768624,7.48,6.43,3.31,0.02,0.5,-0.11,ClosedGrip,LateralRaise
2025-04-03 22:40:26.799659,7.77,6.6,4.96,-0.05,0.82,-0.09,ClosedGrip,LateralRaise
2025-04-03 22:40:26.830492,7.49,6.53,5.42,-0.11,0.98,0.0,ClosedGrip,LateralRaise
2025-04-03 22:40:26.864005,7.43,6.74,5.68,-0.18,1.25,0.1,ClosedGrip,LateralRaise
2025-04-03 22:40:26.891958,7.15,6.79,7.0,-0.35,1.38,0.07,ClosedGrip,LateralRaise
2025-04-03 22:40:26.925058,6.43,6.74,7.78,-0.53,1.13,0.04,ClosedGrip,LateralRaise
2025-04-03 22:40:26.953741,7.02,6.79,7.72,-0.73,1.17,0.16,ClosedGrip,LateralRaise
2025-04-03 22:40:26.985716,7.46,7.0,8.49,-1.07,1.4,0.08,ClosedGrip,LateralRaise
2025-04-03 22:40:27.016899,7.58,7.06,8.36,-1.27,1.16,0.14,ClosedGrip,LateralRaise
2025-04-03 22:40:27.047562,9.17,6.8,8.04,-1.34,1.57,0.36,ClosedGrip,LateralRaise
2025-04-03 22:40:27.077288,8.75,6.71,8.35,-1.36,2.11,0.4,ClosedGrip,LateralRaise
2025-04-03 22:40:27.110309,8.12,6.52,8.9,-1.45,2.36,0.52,ClosedGrip,LateralRaise
2025-04-03 22:40:27.138543,7.24,5.95,8.71,-1.58,2.27,0.49,ClosedGrip,LateralRaise
2025-04-03 22:40:27.170766,7.07,6.06,8.9,-1.72,2.15,0.46,ClosedGrip,LateralRaise
2025-04-03 22:40:27.199954,7.06,5.36,8.84,-1.74,2.19,0.56,ClosedGrip,LateralRaise
2025-04-03 22:40:27.230903,6.1,4.53,8.45,-1.78,2.39,0.44,ClosedGrip,LateralRaise
2025-04-03 22:40:27.264423,5.26,4.1,8.37,-1.89,2.61,0.38,ClosedGrip,LateralRaise
2025-04-03 22:40:27.292431,3.36,3.4,8.68,-2.05,2.05,0.2,ClosedGrip,LateralRaise
2025-04-03 22:40:27.323923,3.01,2.57,7.88,-2.18,1.58,0.13,ClosedGrip,LateralRaise
2025-04-03 22:40:27.357108,3.01,1.88,7.17,-2.15,1.65,0.14,ClosedGrip,LateralRaise
2025-04-03 22:40:27.384673,1.47,1.02,7.06,-2.03,1.5,-0.03,ClosedGrip,LateralRaise
2025-04-03 22:40:27.417301,1.65,0.3,6.24,-1.8,1.36,0.09,ClosedGrip,LateralRaise
2025-04-03 22:40:27.446222,1.74,-0.01,6.15,-1.63,1.53,0.09,ClosedGrip,LateralRaise
2025-04-03 22:40:27.478905,-0.35,-1.19,5.63,-1.48,0.97,-0.15,ClosedGrip,LateralRaise
2025-04-03 22:40:27.508659,-0.23,-1.8,4.84,-1.29,0.64,-0.04,ClosedGrip,LateralRaise
2025-04-03 22:40:27.539590,-0.23,-2.12,4.42,-1.06,0.58,0.03,ClosedGrip,LateralRaise
2025-04-03 22:40:27.569901,-1.99,-2.74,4.11,-0.84,0.11,-0.21,ClosedGrip,LateralRaise
2025-04-03 22:40:27.601557,-1.83,-2.59,4.93,-0.68,-0.48,-0.09,ClosedGrip,LateralRaise
2025-04-03 22:40:27.633685,-0.76,-3.28,4.07,-0.41,-0.51,-0.15,ClosedGrip,LateralRaise
2025-04-03 22:40:27.662372,-0.69,-3.0,4.4,0.04,-0.53,-0.1,ClosedGrip,LateralRaise
2025-04-03 22:40:27.693090,-0.13,-3.05,5.2,0.59,-0.43,-0.13,ClosedGrip,LateralRaise
2025-04-03 22:40:27.723810,-0.44,-2.31,6.51,0.84,-0.37,-0.09,ClosedGrip,LateralRaise
2025-04-03 22:40:27.754713,-0.55,-2.03,6.94,0.88,-0.76,-0.09,ClosedGrip,LateralRaise
2025-04-03 22:40:27.785318,-0.44,-1.55,7.19,0.92,-1.33,-0.1,ClosedGrip,LateralRaise
2025-04-03 22:40:27.816522,1.39,-1.56,7.15,1.01,-1.52,-0.12,ClosedGrip,LateralRaise
2025-04-03 22:40:27.846906,1.45,-1.07,7.13,1.04,-1.6,-0.23,ClosedGrip,LateralRaise
2025-04-03 22:40:27.879187,1.44,-1.12,8.73,1.1,-1.77,-0.28,ClosedGrip,LateralRaise
2025-04-03 22:40:27.908556,2.56,-0.1,7.9,1.05,-1.65,-0.29,ClosedGrip,LateralRaise
2025-04-03 22:40:27.941815,2.08,-0.07,8.78,0.96,-1.98,-0.41,ClosedGrip,LateralRaise
2025-04-03 22:40:27.970918,4.58,0.46,9.34,1.02,-2.11,-0.46,ClosedGrip,LateralRaise
2025-04-03 22:40:28.001207,3.88,0.84,8.6,0.95,-2.19,-0.49,ClosedGrip,LateralRaise
2025-04-03 22:40:28.032119,5.37,-0.34,8.86,1.16,-1.92,-0.46,ClosedGrip,LateralRaise
2025-04-03 22:40:28.066647,5.84,1.85,7.86,1.22,-1.6,-0.43,ClosedGrip,LateralRaise
2025-04-03 22:40:28.093799,5.54,2.1,8.28,1.09,-2.22,-0.65,ClosedGrip,LateralRaise
2025-04-03 22:40:28.124514,7.73,1.59,7.94,1.2,-1.85,-0.45,ClosedGrip,LateralRaise
2025-04-03 22:40:28.160083,7.15,3.43,6.63,1.19,-1.73,-0.6,ClosedGrip,LateralRaise
2025-04-03 22:40:28.185924,8.75,3.39,7.24,1.29,-1.6,-0.66,ClosedGrip,LateralRaise
2025-04-03 22:40:28.216580,8.84,4.65,6.68,1.31,-1.52,-0.37,ClosedGrip,LateralRaise
2025-04-03 22:40:28.249662,7.67,3.91,6.17,1.2,-1.86,-0.65,ClosedGrip,LateralRaise
2025-04-03 22:40:28.279359,10.29,3.65,5.93,1.48,-1.12,-0.24,ClosedGrip,LateralRaise
2025-04-03 22:40:28.311597,8.67,5.53,5.13,1.43,-0.84,-0.44,ClosedGrip,LateralRaise
2025-04-03 22:40:28.340204,8.51,5.69,5.74,1.33,-1.22,-0.6,ClosedGrip,LateralRaise
2025-04-03 22:40:28.372156,9.1,5.16,5.03,1.39,-1.36,-0.22,ClosedGrip,LateralRaise
2025-04-03 22:40:28.401732,8.63,5.16,4.75,1.36,-1.01,-0.3,ClosedGrip,LateralRaise
2025-04-03 22:40:28.432595,7.68,4.99,5.24,1.06,-1.16,-0.36,ClosedGrip,LateralRaise
2025-04-03 22:40:28.466366,7.73,5.24,4.84,0.79,-1.92,-0.47,ClosedGrip,LateralRaise
2025-04-03 22:40:28.496106,9.58,5.48,3.66,0.71,-1.58,-0.56,ClosedGrip,LateralRaise
2025-04-03 22:40:28.525427,9.8,5.38,3.57,0.74,-0.83,-0.54,ClosedGrip,LateralRaise
2025-04-03 22:40:28.556846,8.63,5.77,3.76,0.75,-0.7,-0.4,ClosedGrip,LateralRaise
2025-04-03 22:40:28.587531,9.52,5.81,3.31,0.71,-0.47,-0.41,ClosedGrip,LateralRaise
2025-04-03 22:40:28.622077,9.71,5.66,3.5,0.65,0.03,-0.28,ClosedGrip,LateralRaise
2025-04-03 22:40:28.648190,8.76,6.07,3.96,0.52,-0.04,-0.18,ClosedGrip,LateralRaise
2025-04-03 22:40:28.680717,8.98,6.02,3.41,0.38,-0.17,-0.09,ClosedGrip,LateralRaise
2025-04-03 22:40:28.709652,9.06,5.98,3.04,0.15,0.07,0.07,ClosedGrip,LateralRaise
2025-04-03 22:40:28.740474,7.91,6.04,2.82,0.01,-0.12,0.09,ClosedGrip,LateralRaise
2025-04-03 22:40:28.773194,8.14,5.76,1.72,-0.08,-0.18,0.11,ClosedGrip,LateralRaise
2025-04-03 22:40:28.802980,8.14,5.37,1.75,-0.13,0.16,0.11,ClosedGrip,LateralRaise
2025-04-03 22:40:28.835569,7.03,5.97,2.02,-0.22,-0.04,0.04,ClosedGrip,LateralRaise
2025-04-03 22:40:28.864686,7.69,5.82,1.03,-0.29,-0.12,-0.01,ClosedGrip,LateralRaise
2025-04-03 22:40:28.894645,8.06,5.5,1.01,-0.26,0.16,0.06,ClosedGrip,LateralRaise
2025-04-03 22:40:28.926066,7.46,5.4,1.44,-0.23,0.1,-0.03,ClosedGrip,LateralRaise
2025-04-03 22:40:28.955568,7.7,5.66,1.21,-0.24,-0.03,-0.01,ClosedGrip,LateralRaise
2025-04-03 22:40:28.986992,7.81,5.63,1.3,-0.31,-0.09,-0.03,ClosedGrip,LateralRaise
2025-04-03 22:40:29.017012,7.95,5.6,1.72,-0.35,-0.21,0.01,ClosedGrip,LateralRaise
2025-04-03 22:40:29.047961,8.3,5.54,2.13,-0.35,-0.18,0.07,ClosedGrip,LateralRaise
2025-04-03 22:40:29.079740,8.84,5.64,3.61,-0.38,0.44,0.13,ClosedGrip,LateralRaise
2025-04-03 22:40:29.110715,8.46,5.84,4.5,-0.52,0.67,0.1,ClosedGrip,LateralRaise
2025-04-03 22:40:29.140435,8.64,5.97,5.17,-0.7,0.51,0.19,ClosedGrip,LateralRaise
2025-04-03 22:40:29.171975,9.58,5.66,5.16,-0.77,1.02,0.26,ClosedGrip,LateralRaise
2025-04-03 22:40:29.202188,9.32,5.84,5.37,-0.8,1.41,0.21,ClosedGrip,LateralRaise
2025-04-03 22:40:29.232967,9.05,6.06,5.67,-0.86,1.46,0.25,ClosedGrip,LateralRaise
2025-04-03 22:40:29.264710,9.02,5.92,5.43,-0.94,1.58,0.26,ClosedGrip,LateralRaise
2025-04-03 22:40:29.295409,9.12,5.89,5.58,-0.99,1.63,0.25,ClosedGrip,LateralRaise
2025-04-03 22:40:29.325364,9.04,5.87,6.01,-1.11,1.96,0.26,ClosedGrip,LateralRaise
2025-04-03 22:40:29.357379,8.79,5.39,6.28,-1.17,2.02,0.23,ClosedGrip,LateralRaise
2025-04-03 22:40:29.388428,8.9,5.09,6.79,-1.2,2.11,0.26,ClosedGrip,LateralRaise
2025-04-03 22:40:29.424832,9.08,4.89,7.07,-1.18,2.44,0.21,ClosedGrip,LateralRaise
2025-04-03 22:40:29.448208,8.13,5.07,7.74,-1.24,2.59,0.16,ClosedGrip,LateralRaise
2025-04-03 22:40:29.479495,7.62,5.1,8.05,-1.35,2.15,0.22,ClosedGrip,LateralRaise
2025-04-03 22:40:29.512880,7.73,4.32,7.96,-1.41,2.1,0.25,ClosedGrip,LateralRaise
2025-04-03 22:40:29.541009,6.93,4.16,7.81,-1.42,2.34,0.28,ClosedGrip,LateralRaise
2025-04-03 22:40:29.571777,6.09,3.86,8.14,-1.47,2.33,0.25,ClosedGrip,LateralRaise
2025-04-03 22:40:29.602649,4.86,3.03,8.55,-1.52,2.09,0.24,ClosedGrip,LateralRaise
2025-04-03 22:40:29.633409,4.16,2.72,8.47,-1.54,2.06,0.25,ClosedGrip,LateralRaise
2025-04-03 22:40:29.663988,3.34,2.31,8.42,-1.57,1.91,0.11,ClosedGrip,LateralRaise
2025-04-03 22:40:29.695257,2.36,1.53,8.61,-1.57,1.52,0.08,ClosedGrip,LateralRaise
2025-04-03 22:40:29.726512,2.46,1.2,7.51,-1.56,1.56,0.11,ClosedGrip,LateralRaise
2025-04-03 22:40:29.756267,1.42,0.22,8.03,-1.52,1.6,0.0,ClosedGrip,LateralRaise
2025-04-03 22:40:29.787755,0.72,0.01,7.58,-1.52,1.29,-0.08,ClosedGrip,LateralRaise
2025-04-03 22:40:29.820003,0.41,-0.83,7.35,-1.5,0.98,-0.01,ClosedGrip,LateralRaise
2025-04-03 22:40:29.848544,-0.07,-1.58,6.51,-1.44,0.82,-0.01,ClosedGrip,LateralRaise
2025-04-03 22:40:29.885801,-0.3,-1.85,5.94,-1.34,0.52,-0.04,ClosedGrip,LateralRaise
2025-04-03 22:40:29.910474,-0.53,-2.3,5.59,-1.09,0.18,0.0,ClosedGrip,LateralRaise
2025-04-03 22:40:29.941073,-0.68,-2.77,4.83,-0.87,0.06,0.02,ClosedGrip,LateralRaise
2025-04-03 22:40:29.971523,-0.93,-2.9,5.15,-0.65,-0.01,0.04,ClosedGrip,LateralRaise
2025-04-03 22:40:30.004720,-1.79,-3.42,5.54,-0.43,-0.42,0.01,ClosedGrip,LateralRaise
2025-04-03 22:40:30.033310,-0.52,-3.27,5.29,-0.15,-0.76,0.04,ClosedGrip,LateralRaise
2025-04-03 22:40:30.064168,-0.29,-3.41,5.87,0.24,-0.6,-0.02,ClosedGrip,LateralRaise
2025-04-03 22:40:30.094977,-0.61,-2.88,6.9,0.38,-0.59,-0.07,ClosedGrip,LateralRaise
2025-04-03 22:40:30.128457,-0.79,-2.88,7.3,0.43,-0.75,-0.11,ClosedGrip,LateralRaise
2025-04-03 22:40:30.160009,-0.44,-3.11,7.65,0.49,-0.81,-0.12,ClosedGrip,LateralRaise
2025-04-03 22:40:30.187352,0.16,-2.65,7.22,0.59,-0.6,-0.24,ClosedGrip,LateralRaise
2025-04-03 22:40:30.220172,0.03,-2.49,8.19,0.65,-0.76,-0.25,ClosedGrip,LateralRaise
2025-04-03 22:40:30.248985,0.08,-2.49,7.95,0.67,-1.05,-0.31,ClosedGrip,LateralRaise
2025-04-03 22:40:30.280081,1.17,-1.52,7.78,0.72,-1.29,-0.31,ClosedGrip,LateralRaise
2025-04-03 22:40:30.310875,1.93,-1.38,7.15,0.84,-1.55,-0.36,ClosedGrip,LateralRaise
2025-04-03 22:40:30.341811,2.12,-1.27,7.16,1.04,-1.69,-0.24,ClosedGrip,LateralRaise
2025-04-03 22:40:30.375230,4.2,-0.18,6.94,1.08,-1.43,-0.25,ClosedGrip,LateralRaise
2025-04-03 22:40:30.406800,3.11,0.05,8.53,1.03,-1.83,-0.28,ClosedGrip,LateralRaise
2025-04-03 22:40:30.434922,5.14,0.59,7.23,1.01,-2.11,-0.24,ClosedGrip,LateralRaise
2025-04-03 22:40:30.467504,5.13,0.85,7.45,0.98,-2.12,-0.25,ClosedGrip,LateralRaise
2025-04-03 22:40:30.495404,6.42,1.04,7.63,1.07,-1.95,-0.32,ClosedGrip,LateralRaise
2025-04-03 22:40:30.529344,5.54,2.23,7.16,1.02,-2.41,-0.38,ClosedGrip,LateralRaise
2025-04-03 22:40:30.557137,6.61,1.06,6.5,1.15,-2.33,-0.44,ClosedGrip,LateralRaise
2025-04-03 22:40:30.593365,7.91,2.74,5.75,1.3,-1.84,-0.52,ClosedGrip,LateralRaise
2025-04-03 22:40:30.618648,7.54,2.85,6.71,1.26,-1.66,-0.84,ClosedGrip,LateralRaise
2025-04-03 22:40:30.652254,8.46,2.49,7.11,1.28,-1.48,-0.74,ClosedGrip,LateralRaise
2025-04-03 22:40:30.680414,7.65,3.78,6.03,1.16,-1.71,-0.96,ClosedGrip,LateralRaise
2025-04-03 22:40:30.714168,9.64,3.21,6.37,1.19,-1.69,-1.12,ClosedGrip,LateralRaise
2025-04-03 22:40:30.742263,10.27,4.07,5.29,1.25,-1.31,-1.02,ClosedGrip,LateralRaise
2025-04-03 22:40:30.774380,8.59,5.08,4.17,1.11,-2.13,-1.2,ClosedGrip,LateralRaise
2025-04-03 22:40:30.806189,12.11,4.43,4.0,1.24,-1.82,-0.95,ClosedGrip,LateralRaise
2025-04-03 22:40:30.836890,11.94,5.31,3.23,1.31,-0.83,-0.71,ClosedGrip,LateralRaise
2025-04-03 22:40:30.865649,9.11,6.52,3.77,1.19,-1.16,-0.9,ClosedGrip,LateralRaise
2025-04-03 22:40:30.896232,10.07,5.89,4.11,1.14,-1.57,-0.63,ClosedGrip,LateralRaise
2025-04-03 22:40:30.927063,10.75,5.86,3.77,1.02,-0.82,-0.59,ClosedGrip,LateralRaise
2025-04-03 22:40:30.960127,9.33,5.4,4.83,0.84,-0.68,-0.56,ClosedGrip,LateralRaise
2025-04-03 22:40:30.988709,9.18,5.66,4.87,0.73,-0.73,-0.39,ClosedGrip,LateralRaise
2025-04-03 22:40:31.029034,9.42,5.93,4.55,0.59,-0.73,-0.36,ClosedGrip,LateralRaise
2025-04-03 22:40:31.050587,9.58,6.23,3.38,0.41,-0.32,-0.17,ClosedGrip,LateralRaise
2025-04-03 22:40:31.081904,8.47,5.69,3.14,0.34,-0.32,-0.06,ClosedGrip,LateralRaise
2025-04-03 22:40:31.113136,8.59,5.71,2.06,0.3,-0.05,-0.03,ClosedGrip,LateralRaise
2025-04-03 22:40:31.143524,8.4,5.84,2.0,0.28,0.21,-0.04,ClosedGrip,LateralRaise
2025-04-03 22:40:31.178203,8.06,5.89,1.67,0.21,0.2,-0.1,ClosedGrip,LateralRaise
2025-04-03 22:40:31.205934,8.36,5.98,1.1,0.11,0.37,0.02,ClosedGrip,LateralRaise
2025-04-03 22:40:31.241448,7.81,5.93,1.26,0.02,0.21,0.01,ClosedGrip,LateralRaise
2025-04-03 22:40:31.268537,7.82,5.83,1.07,-0.09,-0.02,0.09,ClosedGrip,LateralRaise
2025-04-03 22:40:31.300521,8.34,5.65,0.84,-0.17,-0.13,0.14,ClosedGrip,LateralRaise
2025-04-03 22:40:31.327632,8.44,5.75,0.68,-0.19,-0.05,0.12,ClosedGrip,LateralRaise
2025-04-03 22:40:31.359046,8.06,5.61,0.8,-0.14,-0.05,0.01,ClosedGrip,LateralRaise
2025-04-03 22:40:31.389171,8.15,5.71,0.61,-0.09,-0.1,0.06,ClosedGrip,LateralRaise
2025-04-03 22:40:31.426667,8.52,5.42,0.61,-0.04,0.06,0.01,ClosedGrip,LateralRaise
2025-04-03 22:40:31.465153,8.02,4.87,0.61,-0.05,0.28,0.0,ClosedGrip,LateralRaise
2025-04-03 22:40:31.484974,7.36,5.15,0.86,-0.08,-0.01,0.1,ClosedGrip,LateralRaise
2025-04-03 22:40:31.512323,7.52,5.35,0.66,-0.08,-0.3,0.18,ClosedGrip,LateralRaise
2025-04-03 22:40:31.543187,7.92,5.09,0.31,-0.01,-0.05,0.11,ClosedGrip,LateralRaise
2025-04-03 22:40:31.579910,7.24,5.31,0.72,0.04,0.02,0.01,ClosedGrip,LateralRaise
2025-04-03 22:40:31.603566,7.34,5.37,0.74,0.07,-0.13,-0.08,ClosedGrip,LateralRaise
2025-04-03 22:40:31.649047,7.85,5.25,0.51,0.09,-0.05,-0.13,ClosedGrip,LateralRaise
2025-04-03 22:40:31.666169,7.92,5.52,0.63,0.08,0.16,-0.07,ClosedGrip,LateralRaise
2025-04-03 22:40:31.697695,7.68,5.63,0.81,0.04,0.0,0.01,ClosedGrip,LateralRaise
2025-04-03 22:40:31.733030,7.58,5.98,0.66,-0.01,-0.22,-0.09,ClosedGrip,LateralRaise
